text,id,score,topic_id
da orang nawari asuransi grates yawda uwe tawari kode uwe uwe mah gitu orangnya pakai kode akoh eah gaeees kodenya hr22814 no tiputipu skuy ah semoga dibalas amal cintanya gatau dibalas ga dibalas dusta lhahyha onelink me lgvi 3ddb797b af ol red true af attr false af origin referrer af tranid 3ddhk9df2z1sqaivmyz gmeq 26af dp 3dkoinworks 253a 252f 252fsigninpersonal 26referral 3dhr22814 26pid 3daf invites 26shortlink 3d3ddb797b 26af referrer customer id 3d gf9917e03595b43789af06d1bc9e5c2bb 26from 3dsuperapps 26af web id 3d853c612e bfb3 4d17 a3d9 7493689101c2 o 26af siteid 3dcom 26c 3dsuperapps 26af referrer uid 3d1587194555375 af chrome lp true ...,535,0.5172721276268655,11
dear team info pinjaman 212019fb01 november proses pembiayaan cair mohon dibantu follow up ya sudah meleset dijanjikan makasih ya,1860,0.5167429528494921,11
sudah bisa filter pinjaman sudah alokasikan dana ya,1590,0.5157481773033925,11
jd error ya aplikasinya close,1729,0.5142480236499951,11
udah ta email gak ada balasan hajaoaeyqp,1594,0.5142382069522393,11
portfolio berkurang tiba2 kejelasan cashflow fraud penipuan glitch aplikasi,1144,0.5141998590705142,11
buka aplikasi mentok ya mohon bantuannya fsab3xlrfp,1710,0.5141925960060982,11
kalo grade a duit pendanaan bisa kalo grade b kalo grade c seinget gitu sistemnya si kw ganti super transparan niatan pengen narik ganti fintech,1447,0.5141633325372277,11
taroh duit gede bisa deg deg an wkwwkwk untung gw iseng2 wkwkwkq,1722,0.514135046178206,11
min aplikasi webnya dibenerin dnk lemot bngt ya skrg loadingnya,1621,0.5141250373114485,11
min dah niat bgt neh gw status ... b7lqtiypan,591,0.5141139758782329,11
daku rumah teh sudah wfh minggu,754,0.5140910420790468,11
kalo ada tetangga elu malingan gimana cobak lu rumah,821,0.5140893350324738,11
aplikasinya ga ada min ku masalahin,1954,0.5139732257632577,11
bisa login errornya email temukan tolong bantu dkykmozd76,1812,0.5139732189598024,11
thx admin sudah bisa gunain uninstal instal lg,1716,0.5137799260950507,11
hai admin info pocophone f1 gk bisa buka halaman detail koin p2p k1uemhy9xo,421,0.5134262840548253,11
min akun ada pembayaran maret cair ya,664,0.5125507278180963,11
bro knp yah akun kaga jd krn thanks,1560,0.5125379186106593,11
gak bisa masuk akun sy bisa dibantu,1802,0.5124344600500418,11
halo kampanyeku ya februari statusnya mohon bantuannya terimakasih dmj9v5hfsb,1003,0.5117871082185872,11
member email wikananto gmail account value tiba2 berkurang 1jt apapun mohon konfirmasinya,263,0.5117227403288885,11
teh alhamdulilah rumah nih udah seminggu smoga tuh virus corona pergi jauh2 ya teh,758,0.5115599163511753,11
hai nanya sbg lender ada piutang jatuh tempo sdh sebulan follow up menghubungi thanks,1854,0.5108626992338094,11
kemarin ga bisa buka ya muncul tampilan pohon natal,1645,0.5108490509166262,11
agresif pendanaan bgt terpenuhi proses disbursement jg oh ya jg ada robokoin jdnya shadowbanking investree konservatif pendanaan terpenuhi tenor pendek bln komunikatif utk penyelesaian default,1174,0.5102089221398658,11
nggak kerasa udah tanggal februari nih kemarin merayakan pergantian ah ya belajar ttg financial salah menarik perhatianku,1367,0.5092112117396395,11
sudah kirim email sesuai petunjuk dm dibalas balas min qqlofmn4fw,283,0.5089823790247481,11
sudah kirim email sesuai petunjuk dm dibalas balas min,284,0.5089823790247481,11
sudah bisa masuk tp otp nya gak terima2 sudah resend 3x gak ada sms masuk solusinya,1803,0.5089461263631224,11
update terbaru bisa login aplikasi kendalanya ya force close,1730,0.5072192806678688,11
aplikasi sempurna knp dilaunching gimana orang percaya simpan uang kalo,1767,0.5050912433799691,11
halo min nanya gunain koin gmna ya koin gak bisa beli koinrobo,1016,0.5038180800415403,11
tau pengalaman kalo ada udah pakai terima kasih,14,0.5036492723503723,11
min dana jatem april koq masuk oasang status dm ga baca,351,0.5034027356236833,11
nya jd lemot liat schedule repayment muncul dr agustus enakan deh bisa liat bulannya dpt imbal brp outstanding brp jd emosi,1728,0.5033213560594915,11
halo min mohon cek dm ya ada kendala ttg withdrawal penulisan nomor rekening via email slow respon makasih,1732,0.5013533925649889,11
min tebar promo gak ada produk bisa pendanaan sudah produk tersedia grade c d 7zanvkssq9,1896,0.49991647458335225,11
halo masuk stlah aplikasi ga bisa mentok otp ga masuk2 smsnya,1766,0.49921466270357273,11
min gak bisa set up bank account gak bisa withdrawal ada solusi,1574,0.4988431848084679,11
sudah seminggu pengajuan pinjaman proses ya bu,1002,0.49782495023764045,11
dear pinjaman npl investasi koin ga ada provision fundnya ya komplain ui tampilannya ga transparan scrolling pinjaman muncul tampilan,1434,0.497597561654265,11
ada invest sampe uangku gak ga tp aware bgt invest mi lisensi bisa bermasalah agi ya kayak jouska,84,0.4975963948327646,11
