,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
1933,2020-03-23,koinworks,KoinWorks,aku sibuk concall kak lewat laptop😆,[],0,1,[],d96b8762-e3f3-47d8-84a9-34d765424eda
1934,2020-03-23,hidayah_art,Hidayah Sulistyowati ~ Lifestyle Blogger,"Eh iya ada himbauan di baliho ya, hindari bersalaman. Aku dianggap lebay loh gara2 menangkupkan tangan di dada",[],0,2,[],ff4b402d-f8f9-427e-9980-9023fb62a6b5
1935,2020-03-23,dianravi,Geminiwati,Ga bosen kok. Masih banyak yg harus dilakukan di rumah. Besok kalau udah mulai bosen rencananya mau bergaya ootd dan poto poto,[],0,1,[],1bad09d5-23ce-48d3-ad7a-908d58e3891b
1936,2020-03-23,koinworks,KoinWorks,Aku sayang sama kalian. Jaga selalu kesehatan kamu. Terapkan selalu #GerakanSocialDistancing dimanapun kamu berada❤️,[],0,0,['#gerakansocialdistancing'],1afff587-5905-4418-9a93-dc2e58687a1b
1937,2020-03-23,jayakabajay,Paman Bajay,@koinworks kalo mau liat produk yang udah kita danai di mana sih di app?,[],0,0,[],5887d17d-aa31-49e7-aa8f-3b8d88e04395
1938,2020-03-23,investorid,Investor Daily,KoinWorks Manfaatkan Ruang Iklan Massa Imbau Masyarakat Waspada Covid-19  http://brt.st/6vwV  pic.twitter.com/cMY2Ib9oRu,['http://brt.st/6vwV'],0,0,[],a6a3f7c2-d2ce-4a7d-83aa-8ff455c2bd9d
1939,2020-03-23,koinworks,KoinWorks,"Wah yang ini juga viral!😱

Kak @bayu_joo juga turut berpartisipasi nih untuk mulai menerapkan #GerakanSocialDistance supaya kita tetep aman untuk melakukan beragam aktivitas dengan #DiRumahAja https://twitter.com/bayu_joo/status/1241683243214073856 …",['https://twitter.com/bayu_joo/status/1241683243214073856'],0,0,"['#gerakansocialdistance', '#dirumahaja']",645dcce2-c867-408c-b94b-c17de61368ac
1940,2020-03-23,koinworks,KoinWorks,Ada yang ngerasain jugak kayak kak @kadinchan?🥺 #GerakanSocialDistancing https://twitter.com/kadinchan/status/1241944832156696576 …,['https://twitter.com/kadinchan/status/1241944832156696576'],0,0,['#gerakansocialdistancing'],433bdbc8-6700-44ea-af7f-6cf80c87022e
1941,2020-03-23,koinworks,KoinWorks,"uwuu, tag bisa kali orangnya kak!😆",[],0,0,[],3653ccc7-c0ee-4f6a-8dc6-1cfca8255f17
1942,2020-03-23,kadinchan,ラマディ二,"Sebagai pekerja yg masih ngantor pengen bisikin ke atasan ""pak, yok bisa yok kita WFH aja. Saya udah ketakutan loh pak keluar kontrakan sama digosipin tetangga tadi pagi, dan td diledekin clien krn msh nelp pake telp kantor dan bilang msh ngantor dia lg rebaham krn WFH"" pic.twitter.com/c7d88DqrR6",[],0,1,[],4b05d030-50ed-4578-891f-ec701e41e836
1943,2020-03-23,koinworks,KoinWorks,"Hai kak! Jangan khawatir ya, MiKo bakal terusin pesannya ke tim customer service. Mohon ditunggu ya kak😊",[],0,0,[],355422aa-18e3-4b34-8f9c-a087d279863c
1944,2020-03-23,koinworks,KoinWorks,"Gimana nder WFHnya masih semangat apa udah bosen #rebahan mulu?

Daripada pusing, mendingan tegangin dikit otot-otot kalian yuk. Screenshot gambar di bawah ini dan share langsung di comment ya. 

Jawaban paling lucu, bakalan kita Retweet! Lets go pic.twitter.com/3FwHR8NBc7",[],0,5,['#rebahan'],65287ca5-fd69-47ad-b678-d6ac244ab260
1945,2020-03-23,nathanwod,Nathan,@koinworks email dan tweet saya belum dibales nih 3 hari,[],0,0,[],72eeb161-b2a0-417f-8587-f8dc8257807e
1946,2020-03-23,ariesarcha,ferthee,"Hey, I give you 50.000 worth investment in KoinWorks. Lets join! Detail  https://ift.tt/2X2uXFj  #InvestasiuntukNegri #Indonesia #Invest",['https://ift.tt/2X2uXFj'],0,0,"['#investasiuntuknegri', '#indonesia', '#invest']",f2d3417d-e9e3-4db2-97d9-1a8f69f74863
1947,2020-03-23,adsafha,kanjeng,Hee anak rumahan😅,[],0,1,[],7d6efbfd-531f-47f0-b679-19faba82ec04
1948,2020-03-23,ayy_only,Ayy,Sekreatif itu memang koinworks,[],0,0,[],7c945e2d-817a-49e8-96d7-fdbd46b11205
1949,2020-01-09,danielchayau,Author,"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) . https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us …",['https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us'],28,107,[],9f9b6fba-ce56-4406-a086-73919426297b
1950,2020-03-23,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],d7ba54a3-d736-492f-abac-f348b97cbf16
1951,2020-03-23,ayy_only,Ayy,Emang KoinWorks kreatif. Patut di apresiasi positif pokoknya. Btw #DiRumahAja paling amam skrg mah,[],0,5,['#dirumahaja'],7f18cc17-c927-455e-bcc9-9e83a6dccbb0
1952,2020-03-22,bukanmumuuun,Bukan Mumun 🇮🇩,-_-,[],0,0,[],23c26865-e8f4-4d58-bdbe-65f3b709835b
1953,2020-03-22,adsafha,kanjeng,Kasitau sav,[],0,0,[],93fb907e-63eb-4f3b-8447-67ed8acdfcdb
1954,2020-03-22,adsafha,kanjeng,Betul sav,[],0,1,[],aefefe71-4d9c-4ca3-b9ec-dd9b45263c4f
1955,2020-03-22,adsafha,kanjeng,Abis lebaran kak konsernya,[],0,0,[],1d79c35a-6f4f-43ad-8e12-6a97d7b78f7f
1956,2020-03-22,adsafha,kanjeng,Sip,[],0,0,[],34b91dbd-5cd2-4b94-a145-1c80c35b7e02
1957,2020-03-22,adsafha,kanjeng,Heeh w bilangin ibonk,[],0,1,[],12935905-6668-4160-9534-40e3e72a0237
1958,2020-03-22,adsafha,kanjeng,Silvi🤗,[],0,0,[],49121533-7a2c-49c6-b134-2505b861fdb4
1959,2020-03-22,adsafha,kanjeng,Aamiin ya Allah,[],0,1,[],f0b50119-4b8a-429b-b096-634f9dd91c87
1960,2020-03-22,adsafha,kanjeng,Ndang pasang kun ngarep omah,[],0,1,[],7b6fb1b3-8a2f-4683-bc90-96b0c13e145e
1961,2020-03-22,adsafha,kanjeng,Jgn bandel,[],0,0,[],9afbde22-a731-4878-b7b6-7714849fbc60
1962,2020-03-22,adsafha,kanjeng,Hehe,[],0,0,[],c8241874-ec17-4b1b-9277-c49991e62830
1963,2020-03-22,adsafha,kanjeng,Anak rumahan,[],0,1,[],43889e68-b3be-4c6a-8249-19d2f34211c4
1964,2020-03-22,daffahs23,romeoo:'),"Dirumah aja, jomblo",[],0,0,[],db92c95f-f0c0-4d77-95bc-33c25826f040
