date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id,cleaned,flair_dataset,is_ref
2019-12-21,aksesjateng,AKSES JATENG,"BTS Ngentot di  Ayo Investasi P2P Lending dengan Koinworks: EXPLORE INHU - KOINWORKS.  Investasi atau pendanaan di fintech peer to peer (P2P) lending tengah menjadi incaran generasi milenial saat ini. Bukan cuma terpikat kemudahan investasinya,…  http://dlvr.it/RLjKL8  Viral",['http://dlvr.it/RLjKL8'],0,0,[],ffb9fae9-668c-4dab-b463-d9a0b1084249,bts ngentot ayo investasi p2p lending explore inhu investasi pendanaan fintech peer to peer p2p lending incaran generasi milenial terpikat kemudahan investasinya ... dlvr it rljkl8 viral,bts ngentot di ayo investasi p2p lending dengan koinworks explore inhu koinworks investasi atau pendanaan di fintech peer to peer p2p lending tengah menjadi incaran generasi milenial saat ini bukan cuma terpikat kemudahan investasinya ... http dlvr it rljkl8 viral,False
2019-12-21,don_bango,iwanbango,"Pada tanggal 13 Desember 2019, Koinworks telah resmi BERIZIN dan DIAWASI oleh OJK.

Download dan dapatkan 350,000 KOIN dengan memasukkan kode 01602 atau klik link di bawah ini:
 https://lnkd.in/ficiC_7 
#koinworks #yakinaman #inklusikeuangan #ojk #investasi",['https://lnkd.in/ficiC_7'],0,0,"['#koinworks', '#yakinaman', '#inklusikeuangan', '#ojk', '#investasi']",dd7d6497-898d-45d2-9dd6-e4e4198bc8e3,tanggal desember resmi berizin diawasi ojk dapatkan koin memasukkan kode klik link lnkd in ficic 7 yakinaman inklusikeuangan ojk investasi,pada tanggal desember koinworks telah resmi berizin dan diawasi oleh ojk download dan dapatkan koin dengan memasukkan kode atau klik link di bawah ini https lnkd in ficic 7 koinworks yakinaman inklusikeuangan ojk investasi,False
2019-12-21,don_bango,iwanbango,"Pada tanggal 13 Desember 2019, Koinworks telah resmi BERIZIN dan DIAWASI oleh OJK.

Download dan dapatkan 350,000 KOIN dengan memasukkan kode 01602 atau klik link di bawah ini:
 https://lnkd.in/ficiC_7 
#koinworks #yakinaman #inklusikeuangan #ojk #investor #investasi",['https://lnkd.in/ficiC_7'],0,0,"['#koinworks', '#yakinaman', '#inklusikeuangan', '#ojk', '#investor', '#investasi']",36a4848f-535c-416f-a1dc-a256316f9859,tanggal desember resmi berizin diawasi ojk dapatkan koin memasukkan kode klik link lnkd in ficic 7 yakinaman inklusikeuangan ojk investor investasi,pada tanggal desember koinworks telah resmi berizin dan diawasi oleh ojk download dan dapatkan koin dengan memasukkan kode atau klik link di bawah ini https lnkd in ficic 7 koinworks yakinaman inklusikeuangan ojk investor investasi,False
2019-12-21,fajri_nurifan,Kusuma Wardana,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a*Click to watch video* 
  https://youtu.be/ir7B7HSXwRs  
 Download and *Use my code 00327 to get 350,000* KOIN or click  https://koinworks.onelink.me/uBUZ/cc16ba35 ","['https://youtu.be/ir7B7HSXwRs', 'https://koinworks.onelink.me/uBUZ/cc16ba35']",0,0,[],8e8bf6d9-4011-4a0b-8e3a-640f82084425,let me introduce you to indonesia first super financial get return up to p a click to watch video be ir7b7hsxwrs and use my to get koin or click onelink me ubuz cc16ba35,hi let me introduce you to koinworks indonesia first super financial app get return up to p a click to watch video https youtu be ir7b7hsxwrs download and use my code to get koin or click https koinworks onelink me ubuz cc16ba35,False
2019-12-21,limxiong,Darwin Putra,"Saya mendanai pinjaman grade A, prosesnya bisa sampai sebulan. Pengembaliannya harusnya jatuh tempo 20an oktober, sampai skrg tidak jelas nasibnya, telp CS hanya disuruh sabar menunggu",[],0,0,[],cc636cce-4e30-4671-909b-4f73ed579dd5,mendanai pinjaman grade a prosesnya bisa sebulan pengembaliannya jatuh tempo 20an oktober skrg nasibnya telp cs disuruh sabar menunggu,saya mendanai pinjaman grade a prosesnya bisa sampai sebulan pengembaliannya harusnya jatuh tempo 20an oktober sampai skrg tidak jelas nasibnya telp cs hanya disuruh sabar menunggu,False
2019-12-21,juleshwa,IG @juleshwa,"*KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app.
 
 Download and *Use my code 25558 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/de6d8e2 
KoinWorks is *registered and supervised by OJK* Indonesia",['https://koinworks.onelink.me/LgVI/de6d8e2'],0,0,[],7338b68a-73f0-4c78-a85f-3611e4b795dd,indonesia first super financial get return up to p a and non collateralized loan in one single and use my to get koin or click onelink me lgvi de6d8e2 is registered and supervised by ojk indonesia,koinworks indonesia first super financial app get return up to p a and non collateralized loan in one single app download and use my code to get koin or click https koinworks onelink me lgvi de6d8e2 koinworks is registered and supervised by ojk indonesia,False
2019-12-21,em_noor,Muhammad Noor,"Works, thanks ya",[],0,0,[],82bc981a-b6e1-40d1-a11a-aba2974f22fb,works thanks ya,works thanks ya,False
2019-12-21,epriyansyh,リャン.,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App. 
 
Download dan *dapatkan 350,000* KOIN dengan kode saya a03891 atau klik  https://koinworks.onelink.me/LgVI/4cb3ef24 
KoinWorks *terdaftar dan diawasi oleh OJK*",['https://koinworks.onelink.me/LgVI/4cb3ef24'],0,0,[],cf337d13-57b7-4b8c-a8ed-b5110294068a,super financial indonesia hasil pendanaan p a pinjaman agunan dapatkan koin kode a03891 klik onelink me lgvi 4cb3ef24 terdaftar diawasi ojk,hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a dan pinjaman tanpa agunan semua di app download dan dapatkan koin dengan kode saya a03891 atau klik https koinworks onelink me lgvi 4cb3ef24 koinworks terdaftar dan diawasi oleh ojk,False
2019-12-20,karina_gold1989,Karina Gold,"Coba uninstall terus install lagi. Dari kemarin juga gitu terus, akhirnya bisa masuk.",[],0,0,[],501660a0-557b-440c-be68-47fe8c147da2,coba uninstall install kemarin gitu bisa masuk,coba uninstall terus install lagi dari kemarin juga gitu terus akhirnya bisa masuk,False
2019-12-20,sekar_sningsih,Sekar Sariningsih,@koinworks saya buka aplikasi koinworks mentok di sini ya? Mohon bantuannya  pic.twitter.com/fsAb3XLrfP,[],0,0,[],aedde237-3459-4dc5-b52f-784d21060b58,buka aplikasi mentok ya mohon bantuannya fsab3xlrfp,koinworks saya buka aplikasi koinworks mentok di sini ya mohon bantuannya pic twitter com fsab3xlrfp,False
2019-12-20,budiman65691,BUDIMAN6569,"Untuk,//Pi jaman//
Koinworks//
Persyaratan//yang//harus//dilengkapi//",[],0,0,[],7b56504c-83ae-4f18-abdb-c6c65ae97653,pi jaman persyaratan dilengkapi,untuk pi jaman koinworks persyaratan yang harus dilengkapi,False
2019-12-20,budiman65691,BUDIMAN6569,@koinworks,[],0,0,[],54e15916-2422-4e1c-aa9b-36d374d36841,,koinworks,False
2019-12-20,dailysocial,DailySocial.id,KoinWorks Segera Tambah Lender Institusi dari Luar Negeri Tahun Depan  https://dailysocial.id/post/koinworks-lender-institusi/ …,['https://dailysocial.id/post/koinworks-lender-institusi/'],0,1,[],d1b33f6c-1976-4259-9b50-07bb914b6b39,lender institusi negeri dailysocial id post lender institusi ...,koinworks segera tambah lender institusi dari luar negeri tahun depan https dailysocial id post koinworks lender institusi ...,False
2019-12-20,livius_reef,Muallim Arif,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 

  https://youtu.be/ir7B7HSXwRs  
 
Download and *Use my code 11323 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/c6214462 ","['https://youtu.be/ir7B7HSXwRs', 'https://koinworks.onelink.me/LgVI/c6214462']",0,0,[],2d4e4bc4-87b5-405e-b61a-ca1935f11198,let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single be ir7b7hsxwrs and use my to get koin or click onelink me lgvi c6214462,hi let me introduce you to koinworks indonesia first super financial app get return up to p a and non collateralized loan in one single app https youtu be ir7b7hsxwrs download and use my code to get koin or click https koinworks onelink me lgvi c6214462,False
2019-12-20,tutor_otodidak,long last,Mau sampe kpn @koinworks ga bs login via aplikasinya?? Cb login via website jg ga bs.. hadehhhh hadehh,[],0,0,[],e2e77a3c-3088-4fef-945c-356e436876cf,sampe kpn ga bs login via aplikasinya cb login via website jg ga bs hadehhhh hadehh,mau sampe kpn koinworks ga bs login via aplikasinya cb login via website jg ga bs hadehhhh hadehh,False
